"event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","population_best","Actor_Type"
"UKR100067",2022-04-22,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,3,"Insecurity Insight","International","Around 22 April 2022 (as reported), Russian soldiers raped a man in the Bucha district, Kyiv.",0,NA,1682436934,7583,"External/Other Forces"
"UKR100101",2022-04-22,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,3,"Insecurity Insight","International","Around 22 April 2022 (as reported), somewhere in the Kherson oblast, Russian soldiers raped a female local government worker in order to force her to cooperate. The perpetrators threatened that they would rape her again if she does not cooperate.",0,"local administrators; women targeted: government officials",1687837308,36282,"External/Other Forces"
"UKR139587",2022-04-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Kharkivskyi","Kharkivska","Kharkiv",49.9808,36.2527,3,"Suspilne Media","National","Around 15 April 2022 (month of), 3 Russian servicemen raped a Ukrainian civilian woman in one of the Kharkiv region settlements occupied at that moment (coded to Kharkiv, Kharkiv region).",0,NA,1704833931,63215,"External/Other Forces"
"UKR100087",2022-04-04,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Mykolaiv","Mykolaivskyi","Mykolaivska","Mykolaiv",46.9672,32.0183,3,"Insecurity Insight","International","Around 4 April 2022 (as reported), Russian soldiers raped a three-year-old girl in Mykolaiv region. She was was found dead with signs of rape on 4 April. This was reported by the Ukrainian Ambassador to Estonia.",1,"women targeted: girls",1682436934,272908,"External/Other Forces"
"UKR100088",2022-04-04,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Brovarskyi","Brovarska","Brovary",50.5181,30.8067,1,"Insecurity Insight","International","Around 4 April 2022, Russian soldiers dragged out an unspecified number of women out of their shelters and raped them in Brovary, Kyiv. The soldiers also looted and beat residents. This incident was reported by a Ukrainian woman who had recently fled the city. The woman also reported that some of the women who had been raped were then found hanged. It is unclear whether they were killed or whether they committed suicide. Unspecified fatalities coded as 3.",3,NA,1682436934,123289,"External/Other Forces"
"UKR100084",2022-04-03,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Mariupolskyi","Mariupolska","Mariupol",47.1298,37.571,2,"Insecurity Insight","International","Around 3 April 2022, an unspecified number of Russian soldiers raped and killed a woman in the district of Mariupol, Donetsk.",1,NA,1682436934,121389,"External/Other Forces"
"UKR100096",2022-04-03,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,1,"Insecurity Insight","International","On 3 April 2022, two Russian soldiers raped at gunpoint a woman inside her residence in Kherson, Kherson, after a local resident identified her as the wife of a Ukrainian soldier.",0,"women targeted: relatives of targeted groups or persons",1682436934,36282,"External/Other Forces"
"UKR100112",2022-04-03,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Ukraine (2019-) Territorial Defense Forces",NA,1,17,"Civilian targeting",804,"Europe","Ukraine","Vinnytsia","Vinnytskyi","Vinnytska","Vinnytsia",49.2296,28.4659,1,"Insecurity Insight","International","Around 3 April 2022, a member of the Ukrainian territorial defence sexually assaulted a teacher in Vinnytsia, as he tried dragging her into the school library and tried to rape her. The perpetrator has been arrested.",0,NA,1682436934,49741,"State Actor"
"UKR100081",2022-04-02,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Mariupolskyi","Mariupolska","Mariupol",47.1298,37.571,1,"Insecurity Insight","International","Around 2 April 2022 (as reported), Russian soldiers raped and killed a girl in Mariupol, Donetsk. This incident was reported on 2 April 2022 by a friend of the girl.",1,"women targeted: girls",1682436934,121389,"External/Other Forces"
"UKR100085",2022-03-30,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Mariupolskyi","Mariupolska","Mariupol",47.1298,37.571,2,"Insecurity Insight","International","Around 30 March 2022, Russian soldiers repeatedly raped and killed a woman in front of her son in the Mariupol district, Donetsk.",1,NA,1682436934,121389,"External/Other Forces"
"UKR100086",2022-03-30,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,2,"Insecurity Insight","International","Around 30 March 2022, three Russian soldiers from a tank unit abducted and raped a 16-year-old girl (likely near Bucha, Kyiv). This incident was reported by the Ukrainian Security Service (SBU) who intercepted a phone call between a Russian soldier and a woman in Russia.",0,"women targeted: girls",1682436934,7583,"External/Other Forces"
"UKR100103",2022-03-30,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Insecurity Insight","International","Around 30 March 2022 (as reported), Russian soldiers forced to undress and beat an unspecified number of female and male civilians hiding in a basement in Irpin, Kyiv.",0,NA,1682436934,13758,"External/Other Forces"
"UKR100083",2022-03-27,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,2,"Insecurity Insight","International","Around 27 March 2022, on a highway 20km outside Kyiv, in the Bucha district, the bodies of three women were found naked and partially burned. This event occurred whilst the area was under Russian occupation and was reported on 3 April 2022, once the area was liberated.",3,NA,1682436934,29995,"External/Other Forces"
"UKR100109",2022-03-26,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Donetsk","Mariupolskyi","Mariupolska","Mariupol",47.1298,37.571,2,"Insecurity Insight","International","On 26 March 2022, a Russian soldier, likely a Kadyrov's fighter, raped a 19-year-old girl hiding in the basement of a building near Mariupol, Donetsk.",0,NA,1682436934,24902,"External/Other Forces"
"UKR76968",2022-03-20,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Chernihiv","Chernihivskyi","Chepnigivska","Chernihiv",51.5055,31.2849,3,"Suspilne Media","National","Around 20 March 2022 (between 10 March - 31 March), Russian soldiers were residing in a civilian house in a village in Chernihiv region (coded to Chernihiv, Chernihiv region) for 3 weeks, while one of the soldiers was sexually assaulting a 16-year-old girl in that household. Her relatives were also threatened and physically assaulted.",0,"women targeted: girls",1666712172,39323,"External/Other Forces"
"UKR100080",2022-03-19,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Vorzel",50.5444,30.153,1,"Insecurity Insight","International","Around 19 March 2022 (as reported), 1n Kyiv Oblast, Russian soldiers raped and held hostage for 10 days a 15-year-old girl in Vorzel, Kyiv. The attack was filmed by the soldiers on a mobile phone.",0,"women targeted: girls",1682436934,5821,"External/Other Forces"
"UKR77839",2022-03-17,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"NYT","International","Around 17 March 2022 (week of), a Ukrainian woman disappeared in Bucha, Kyiv region, during the occupation of the settlement by Russian forces. She was found dead, shot in the head by Russian soldiers. She has also been raped.",1,NA,1667319409,29995,"External/Other Forces"
"UKR54928",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Kharkivskyi","Kharkivska","Kharkiv",49.9808,36.2527,3,"24 Channel","National","Around 15 March 2022 (month of), a Russian soldier repeatedly raped a 29-year-old woman in Kharkiv region, and killed her old mother, when the daughter refused to go to Russia with the soldier.",1,NA,1649784778,326268,"External/Other Forces"
"UKR54937",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Segodnya","National","Around 15 March 2022 (month of), five Russian soldiers raped a 20-year-old woman in Irpin, Kyiv.",0,NA,1649784779,13758,"External/Other Forces"
"UKR54934",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"Segodnya","National","Around 15 March 2022 (month of), Russian soldiers raped a 11-year-old boy in Bucha, Kyiv.",0,NA,1649784779,7583,"External/Other Forces"
"UKR76315",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Iziumskyi","Balakliiska","Balakliia",49.4606,36.8527,1,"Kharkiv Human Rights Protection Group","Other","Around 15 March 2022 (month of), Russian forces captured and abducted a woman and her daughter in Balakliia, Kharkiv region. The daughter was raped while the woman was abused by Russian forces.",0,NA,1666188230,7520,"External/Other Forces"
"UKR78906",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv City","Kyiv",NA,"Kyiv",50.4496,30.5224,3,"Suspilne Media","National","Around 15 March 2022 (month of), a Russian soldier raped a pregnant woman in the Kyiv region (coded to Kyiv, Kyiv). As a result, the woman lost her child.",0,NA,1667924777,77066,"External/Other Forces"
"UKR100074",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,2,"Insecurity Insight","International","Around 15 March 2022 (month of), according to a local NGO, Russian soldiers sexually assaulted at least 50 women near Irpin, Kyiv. This incident was reported on 22 April 2022 and likely occurred in March 2022 whilst the area was under Russian occupation",0,NA,1682436934,13758,"External/Other Forces"
"UKR100075",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,3,"Insecurity Insight","International","Around 15 March 2022 (month of), in an unspecified location in Kyiv Oblast (coded to Bucha), a volunteer helping evacuate residents in the area reported three naked women emerging from houses and basements. One of the women was badly beaten and had bone fractures, and was taken away by ambulance. The volunteer also reported witnessing about 10 other women giving statements to police about being raped. This incident occurred whilst the area was under Russian occupation and was reported on 1 April 2022 after the area was liberated.",0,NA,1682436934,7583,"External/Other Forces"
"UKR100076",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"Insecurity Insight","International","Around 15 March 2022 (month of), Russian soldiers raped and killed an unspecified number of women in Bucha, Kyiv. The women's bodies were found burned. This incident occurred in March 2022 whilst the town was under Russian occupation and was reported on 3 April 2022. Unspecified fatalities coded as 3.",3,NA,1682436934,29995,"External/Other Forces"
"UKR100077",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Lubyanka",50.6541,30.1701,1,"Insecurity Insight","International","Around 15 March 2022 (month of), Russian soldiers raped three women in front of their children in Lubyanka, Kyiv.",0,NA,1682436934,989,"External/Other Forces"
"UKR100078",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Zdvyzhivka",50.675,30.0664,1,"Insecurity Insight","International","Around 15 March 2022 (month of), three Russian soldiers raped a woman at gunpoint, in front of her three-year-old son, in Zdvyzhivka, Kyiv.",0,NA,1682436934,1923,"External/Other Forces"
"UKR100079",2022-03-15,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"Insecurity Insight","International","Around 15 March 2022, Russian soldiers tortured and raped a 22-year-old woman, dragging her into a yard close to her residence in Bucha, Kyiv. The woman, another woman, and a man who attempted to help the woman were shot and killed by Russian soldiers. The victims' bodies were left in their yard for at least 10 days. This incident occurred in mid-March whilst the area was under Russian occupation and was reported on 22 April 2022, after the woman's body was found in a mass grave.",3,NA,1682436934,29995,"External/Other Forces"
"UKR54929",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,3,"24 Channel; Insecurity Insight","National-International","Around 15 March 2022 (month of), Russian forces raped a 78-year-old woman in the Kherson region. (coded to Kherson city as the exact location is unknown)",0,NA,1682436936,36282,"External/Other Forces"
"UKR54933",2022-03-15,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"24 Channel; Insecurity Insight; Suspilne Media","National-International","Around 15 March 2022 (month of), Russian soldiers held captive and repeatedly raped 25 girls and women aged between 14 and 24, in a basement in Bucha, Kyiv. The women reported that the soldiers told them they would rape them to prevent them from having Ukrainian children. Nine of the women got pregnant. This incident was reported by Lyudmyla Denisova, the Ukrainian Parliament's Human Rights Commissioner on 6 April 2022. This incident occurred in March 2022 whilst the town was under Russian occupation.",0,"women targeted: girls",1682436936,7583,"External/Other Forces"
"UKR100068",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Insecurity Insight","International","Around 13 March 2022 (as reported), an unspecified number of soldiers raped a 15-year-old girl and her mother in Irpin, Kyiv. The event was reported on 4 April 2022 by a Ukrainian refugee who had recently fled the city. The event occurred in March 2022 whilst the town was under Russian occupation.",0,"women targeted: girls",1682436934,13758,"External/Other Forces"
"UKR100069",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,1,"Insecurity Insight","International","Around 13 March 2022 (as reported), Russian soldiers raped a 9-year-old girl inside her residence in Bucha, Kyiv, whilst her mother went out for water. A woman who tried to rescue the girl was beaten by the soldiers.",0,"women targeted: girls",1682436934,7583,"External/Other Forces"
"UKR100070",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Insecurity Insight","International","Around 13 March 2022 (as reported), three Russian soldiers raped a woman in Irpin, Kyiv. This event was reported on 8 April 2022.",0,NA,1682436934,13758,"External/Other Forces"
"UKR100071",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Hostomelska","Hostomel",50.5882,30.259,2,"Insecurity Insight","International","Around 13 March 2022, a Russian soldier kidnapped a woman from her residence and raped her in an abandoned building around Hostomel, Kyiv.",0,NA,1682436934,6153,"External/Other Forces"
"UKR100072",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kherson","Khersonskyi","Hersonska","Kherson",46.6558,32.6178,3,"Insecurity Insight","International","Around 13 March 2022, a Russian soldier raped and strangled a 16-year-old girl, who was six months pregnant, in the Kherson oblast. He also threatened to kill her and bring '20 more people', if she did not do as he wanted. The soldier was allegedly from Donetsk and was called 'Blue' by other soldiers. The girl reported that the soldier was drunk at the time of the attack and that the other soldier who was also there warned the soldier against raping the girl.",0,"women targeted: girls",1682436934,36282,"External/Other Forces"
"UKR100073",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Vyshhorodskyi","Ivankivska","Ivankiv",50.9387,29.8943,1,"Insecurity Insight","International","Around 13 March 2022, Russian soldiers raped a 15-year-old and 16-year-old girl in Ivankiv, Kyiv, according to the deputy mayor of the town. This incident occurred in March 2022 whilst the area was under Russian occupation.",0,"women targeted: girls",1682436934,4072,"External/Other Forces"
"UKR100105",2022-03-13,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Insecurity Insight","International","Around 13 March 2022 (as reported), two children under the age of 10 were reportedly found dead with signs of rape and torture in Irpin, Kyiv. This incident was reported by Lyudmyla Denisova, Ombudsman for Human Rights in Ukraine on 5 April and likely occurred in March 2022 whilst the town was under Russian occupation.",2,NA,1682436934,33868,"External/Other Forces"
"UKR54925",2022-03-13,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Kharkivskyi","Vilkhivska","Mala Rohan",49.9385,36.4912,1,"Insecurity Insight; Segodnya","National-International","On 13 March 2022, a Russian soldier raped a woman multiple times at gunpoint in Mala Rohan, Kharkiv, after entering the school where she and her family were sheltering in along with around 40 other IDPs, mostly women and girls. The soldier beat her and cut her face, neck and hair with a knife.",0,NA,1682436936,829,"External/Other Forces"
"UKR100091",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Hostomelska","Hostomel",50.5882,30.259,1,"Insecurity Insight","International","Around 9 March 2022, an unidentified perpetrator raped a 11-year-old girl in Hostomel, Kyiv. This incident likely took place under Russian occupation.",0,"women targeted: girls",1682436934,6153,"External/Other Forces"
"UKR100092",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Buchanska","Bucha",50.5435,30.212,3,"Insecurity Insight","International","Around 9 March 2022, Russian soldiers raped a woman in the Bucha district, Kyiv. This incident is likely to have occurred sometime in March whilst the area was under Russian occupation. This incident was reported on 22 April 2022.",0,NA,1682436934,7583,"External/Other Forces"
"UKR100093",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,2,"Insecurity Insight","International","Around 9 March 2022, seven Russian soldiers raped a woman near Irpin, Kyiv, forcing other Ukrainian detainees to watch. This incident was reported on 22 April 2022.",0,NA,1682436934,13758,"External/Other Forces"
"UKR100094",2022-03-09,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kyiv","Buchanskyi","Irpinska","Irpin",50.5218,30.2506,1,"Insecurity Insight","International","Around 9 March 2022, three Russian soldiers beat, raped, and killed a 15-year-old girl and her mother in Irpin, Kyiv, while forcing another 17-year-old girl to watch. The survivor girl said that soldiers told her to pass on the story. This incident occurred whilst the city was still under Russian occupation.",2,NA,1682436934,33868,"External/Other Forces"
